洞	185
简单	185
毛	185
意义	184
按照	184
特点	184
颗	184
至	183
间	183
亿	183
比较	182
那儿	182
军事	182
指挥	181
剥削	181
久	180
进来	180
保护	180
采取	180
具体	179
哥	179
起义	179
热情	178
墙	178
抽	178
地方	178
主任	177
羊	177
约	177
大夫	177
以来	177
执行	177
擦	176
试	176
野	176
以上	176
名	175
曾经	175
结束	175
道	175
工厂	175
战线	175
例如	175
举行	175
老人	174
样	174
正	174
彻底	174
机械	174
其实	173
今年	173
老	173
真理	173
老爷	173
建筑	172
昨天	172
专政	172
掉	171
决	171
难道	171
骂	171
合作	171
熟	170
负责	170
去年	170
棵	170
外国	170
所谓	170
共同	170
理想	169
不久	169
云	169
休息	169
合	169
温度	169
反	169
退	168
通	168
拍	168
掌握	168
自由	168
处理	168
资料	168
武装	168
金属	168
法制	168
法制	168
产	168
立	167
犯	167
铁路	167
内部	167
商品	167
走	166
站	166
追	166
旁	166
地面	166
企业	166
鸟	165
控制	165
经常	164
发表	164
火车	164
公社	164
阶段	164
就是	164
检查	163
断	163
因	163
左右	163
替	163
幸福	162
不是吗	162
钻	161
大学	161
进步	161
保证	161
农村	161
意识	161
每	160
头发	160
刀	160
狗	160
关	160
电话	159
奇怪	159
静	159
外面	158
单位	158
怎么样	158
现	158
矿	158
设计	158
不管	157
剩	157
双	157
局	157
目的	157
宣传	157
史	157
设备	157
吨	157
从来	156
进去	156
按	156
介绍	156
兵	156
身子	156
讨论	156
客观	156
党员	156
价值	156
进攻	156
来	155
感情	155
桌	155
股	155
猛	155
集体	155
馆	155
劲	154
一块儿	154
生长	154
根本	154
应用	154
睡觉	153
煤	153
减少	153
达	153
叔叔	153
挤	152
粮食	152
一边一边	152
经	152
工具	152
复杂	152
规模	152
大娘	152
倒	152
小姐	152
重新	151
故事	151
美丽	151
原因	151
包括	151
直接	151
回头	151
危险	150
缺点	150
另外	150
票	150
厚	150
地位	150
借	149
叶	149
互相	149
结果	149
充分	149
高度	149
害虫	149
英雄	148
责任	148
记得	148
咱	148
物	148
帮	147
咬	147
成功	147
哼	147
本来	146
初	146
直	146
下午	146
代替	146
器	146
教	145
懂得	145
越来越	145
根	145
国民	145
电子	145
道	144
腰	144
下面	144
渐渐	144
战	144
式	144
吸	144
实验	144
炼	144
采用	144
空	143
盖	143
店	143
逐渐	143
调查	143
少数	143
联合	143
决心	142
枝	142
好好儿	142
家	141
养	141
等	141
试验	141
道理	140
本	140
光	140
感觉	140
茶	140
失败	140
分析	140
交通	140
发明	140
套	139
干	139
房	139
堆	139
大约	139
有关	139
资源	139
戏	139
观点	139
名字	138
露	138
春天	138
阵地	138
证明	138
扩大	138
信	138
质量	138
根据地	138
大嫂	138
救	137
行	137
戴	137
家庭	137
弟弟	137
世纪	137
植物	137
分布	137
辆	136
份	136
至于	136
围	136
挖	136
挑	136
井	136
通过	136
性质	136
主观	136
面积	136
即使	135
到处	135
绿	135
激动	135
一阵子	135
人物	135
共	135
范围	135
治	134
金	134
代	134
医生	134
骑	134
包	134
战略	134
无论	133
必要	133
形	133
权	133
事物	133
号	132
根本	132
拖	132
田	132
仔细	132
成绩	132
眼光	132
颜色	132
进入	132
往往	132
钢铁	132
少爷	131
回击	131
引	131
领	131
搬	131
指示	131
石头	131
消灭	131
挺	131
数	131
办公	131
敌	131
画	131
货	131
经理	131
合成	131
高原	131
关心	130
艰苦	130
男	130
度	130
局长	130
宇宙	130
紧张	129
眼前	129
离	129
武器	129
压迫	129
天气	129
报告	129
底下	129
升	129
标准	129
显得	128
同样	128
如此	128
选	128
青	128
象	128
原	127
泥	127
赶快	127
饿	127
眼	127
产量	127
涌	127
接受	126
天空	126
总结	126
求	126
有些	126
同学	126
工农	126
眼泪	126
人口	126
工夫	125
最近	125
扑	125
报告	125
沟	125
巩固	125
脱	124
玩	124
早晨	124
硬	124
贴	124
冒	124
阳光	124
从前	124
地主	124
批判	124
据	124
沿	124
顶	124
亲自	123
丢	123
耳朵	123
片	123
插	123
支持	123
超过	123
尾巴	123
零	123
结构	123
该	123
战役	123
到底	122
丝	122
附近	122
打击	122
排	122
效果	122
和平	121
吓	121
隔	121
肚子	121
要	121
落后	121
沙	121
粉碎	121
往	121
领袖	121
获得	121
心情	120
睁	120
同意	120
行动	120
普通	120
代表	120
宽	120
表面	120
网	120
作品	120
政权	120
着急	119
一下子	119
背	119
春	119
从此	119
带	119
板	119
血	119
愿	118
进一步	118
传统	118
小孩儿	118
向	118
圈	118
课	118
召开	118
图	118
院子	118
闪	117
抢	117
结果	117
遍	117
化	117
独立	117
痛	117
报纸	117
改革	117
加工	117
食物	117
老板	117
制	117
棉花	117
爸	117
醒	116
平	116
花	116
桌子	116
摔	116
党委	116
林	116
名	116
权利	116
集团	116
作物	116
骆驼	116
充满	115
衣	115
体	115
镇	115
味	114
属于	114
对	114
程度	114
帐	114
年代	114
笔	114
编	114
球	114
端	114
刚刚	113
提供	113
假	113
客人	113
教学	113
微笑	113
平均	113
塑料	113
阿	113
老太太	113
专门	112
粗	112
穷	112
发挥	112
场	112
印	112
医院	112
美	112
依靠	112
小伙子	112
老头儿	112
挨	111
躲	111
敲	111
累	111
恢复	111
滚	111
熟悉	111
可怜	111
作风	111
纪念	111
广泛	111
读书	111
运输	111
公司	111
商量	111
分子	111
直到	110
尤其	110
确定	110
仍	110
全面	110
比如	110
著作	110
观	110
王	110
之一	110
重大	110
究竟	109
欢迎	109
保持	109
部	109
啥	109
楼	109
车间	109
劝	109
如	109
普遍	109
兴奋	108
深刻	108
冬天	108
包	108
中学	108
影	108
上级	108
架	108
幅	108
东北	108
原料	108
汗	108
制定	108
增长	108
鬼子	108
厉害	107
运用	107
亩	107
开展	107
因而	107
小心	107
蹲	107
族	107
村子	107
忘记	106
湿	106
考虑	106
掏	106
习惯	106
观察	106
逃	106
意志	106
来	106
就	106
哈哈	106
严肃	105
果然	105
帽子	105
刮	105
藏	105
鼻子	105
先进	105
秘密	105
奋斗	105
瓶	105
两	105
大伙儿	105
可	105
转	104
因素	104
姓	104
赶紧	104
位置	104
偷	104
秒	104
古代	104
洋	104
海洋	104
奶奶	104
共和	103
牺牲	103
射	103
蓝	103
解	103
尖	103
场	103
庄稼	103
家伙	103
活	103
噢	103
队长	103
差不多	102
不错	102
张	102
干净	102
相当	102
靠	102
放心	102
允许	102
形势	102
渡	102
一致	101
扔	101
情形	101
加以	101
横	101
立即	101
工	101
自然	101
争取	101
余	101
生气	101
措施	101
放大	101
岛	101
透	100
顿	100
展开	100
遇到	100
气	100
里边	100
克服	100
黑暗	100
着	100
妹妹	100
演员	100
科研	100
少年	100
燃烧	100
重量	100
既然	99
以外	99
担心	99
当作	99
踏	99
碎	99
特殊	99
生	99
运	99
有利	99
米	99
冻	99
号召	99
头	98
随便	98
教训	98
一带	98
香	98
强烈	98
念	98
封	98
可以	98
沙漠	98
悄悄	98
织	98
虫	98
照	97
连忙	97
杯	97
撞	97
争	97
贡献	97
势力	97
强大	97
品	97
教授	97
作战	97
谢谢	97
娘	97
聪明	96
现实	96
可爱	96
光荣	96
毕业	96
令	96
逐步	96
尽管	95
尽	95
准	95
自	95
排	95
脑子	95
场	95
户	95
铜	95
调整	95
山脉	95
专	94
培养	94
园	94
战场	94
力气	94
著名	94
部长	94
博物	94
政委	94
弯	93
痛苦	93
老实	93
非	93
观众	93
脑袋	93
密切	93
游	93
干嘛	93
嫂子	93
俺	93
情绪	92
承认	92
不用	92
本	92
小学	92
期	92
明确	92
物体	92
足	91
停止	91
坚定	91
握	91
数	91
沉重	91
冰	91
爆发	91
品种	91
爹	91
将军	91
闭	90
年纪	90
老百姓	90
故意	90
般	90
星	90
坑	90
距离	90
大小	90
出发	90
病	90
保卫	90
叶子	90
辩证	90
批	90
梦	90
夏天	90
疼	90
那边	90
发育	90
捉	89
兴趣	89
趟	89
连	89
方便	89
自	89
牙	89
乡	89
添	89
披	89
表	89
有效	89
坡	89
捧	89
冬	89
主	89
诗	89
侧	89
型	89
地质	89
电视	89
浑身	89
为	89
推动	89
是否	89
危机	89
特务	89
细胞	89
细菌	89
庄	89
登	88
安排	88
临	88
肩	88
方式	88
朵	88
喂	88
打算	87
舒服	87
时刻	87
命	87
命令	87
移	87
外边	87
糖	87
见面	87
卫生	87
阴谋	87
战胜	87
立场	87
炕	87
皮肤	87
科长	87
免	87
拼命	86
绝	86
皱	86
铺	86
解释	86
专家	86
窗户	86
安全	86
门	86
歼灭	86
主意	85
连	85
今后	85
分量	85
搭	85
避免	85
一下	85
伤	85
浪	85
纪律	85
蛋	85
练	85
医学	85
脾气	85
森林	85
姐姐	85
